model,n_parameters,hostname,runtime_engine,floatx,batch_size,device,runs_per_second_mean,runs_per_second_std,n_runs,abs_err_to_pytorch_mean,abs_err_to_pytorch_std
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,1,cpu,16.70657729481971,1.2021872879049853,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,1,cpu,0.4380269234726979,0.07752259267839717,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,1,cpu,0.20956430638785536,0.011809506036847148,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,pytorch_1.4.0,32,1,cpu,0.1728279558035549,0.006963505525489534,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,pytorch_1.4.0,32,1,cpu,0.12173115779446246,0.004971920990265562,100,-1,-1
resnet18_additional_dense_pretrained,11442759,jetson-X-01,pytorch_1.4.0,32,1,cpu,5.866639718226936,0.40932683630011724,100,-1,-1
resnet34_additional_dense_pretrained,21550919,jetson-X-01,pytorch_1.4.0,32,1,cpu,3.418305249975958,0.15856509613455513,100,-1,-1
resnet50_additional_dense_pretrained,24568391,jetson-X-01,pytorch_1.4.0,32,1,cpu,2.369670423228844,0.12648838948442645,100,-1,-1
resnext50_additional_dense_pretrained,24040263,jetson-X-01,pytorch_1.4.0,32,1,cpu,0.6957620601461033,0.050331623269431205,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,1,gpu,238.0990520350084,11.804933600321881,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,32,1,gpu,1847.4188030770422,101.94517120022759,100,6.4168124e-09,3.3239085e-09
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,16,1,gpu,1983.1289737105153,178.5101343577678,100,3.3590197e-06,9.652273e-07
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,1,gpu,55.991382804822976,3.0169688662620175,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,32,1,gpu,701.8905981005083,29.174237380986067,100,2.4219883e-06,6.8859526e-07
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,16,1,gpu,827.0803415853597,47.40252816354629,100,0.01615751,0.004428942
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,1,gpu,64.04697606398045,1.8960916604104556,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,32,1,gpu,369.0049081252876,3.4786946851932647,100,4.6971904e-06,1.2465351e-06
